,Wayne,Pope,Rock Island,Vermilion,Jo Daviess,Cook,Pike,Peoria,Effingham,Grundy,Alexander,Bureau,Fulton,DuPage,Adams,Jackson,Douglas,Brown,Woodford,Piatt,Marion,Pulaski,Hardin,Marshall,Tazewell,Cumberland,Williamson,Will,Fayette,Whiteside,Randolph,Shelby,Edwards,Henderson,Knox,De Witt,Edgar,Putnam,Ogle,Menard,Stark,Warren,McLean,Schuyler,Franklin,Lawrence,Iroquois,Moultrie,Champaign,Wabash,Johnson,Christian,Lee,Morgan,DeKalb,Boone,Stephenson,Macoupin,Winnebago,Washington,Clay,Bond,Clark,Union,Logan,Hancock,Henry,Hamilton,Kendall,Livingston,Greene,Madison,Cass,Crawford,Saline,Jersey,Macon,Scott,Ford,White,Clinton,Sangamon,La Salle,Jefferson,Kankakee,Massac,Perry,Montgomery,Calhoun,Gallatin,McDonough,Mercer,Carroll,Monroe,Kane,Mason,Jasper,Coles,Lake,Saint Clair,McHenry,Richland
0,-7.254020119233861,-7.356266557936394,-7.214123891547991,-7.209206739786962,-7.15562525364832,-6.969376009519715,-7.189859150318301,-7.300827727310019,-7.535443192234565,-5.425324803850859,-7.1360897415808795,-6.123805659596143,-7.202188270369616,-7.382163434558775,-7.240766153805431,-7.006023901874784,-7.33256396548581,-7.4362520442075635,-7.122235140537833,-7.026635307571004,-7.416842028018122,-7.125892750698826,-7.356917255437048,-7.234903275958947,-7.066104392765002,-7.1909322858572295,-7.330510895552818,-7.293970020180164,-7.241258000886544,-6.045860355629092,-7.376360810211896,-7.206039040823509,-7.046900422951101,-7.215012692545497,-7.231864991125909,-7.1614762050104686,-7.167902231724052,-7.256785720131846,-7.282923158834482,-7.293413558960544,-7.421127299101987,-7.092031085047828,-7.179259827241033,-7.352795999491376,-7.322446209410703,-7.459828602395734,-7.237509865528882,-7.286425385893242,-7.227305000755844,-7.235576030891068,-7.229720182209622,-7.033748206620021,-7.167026163089501,-7.335656115632249,-7.234264188651864,-7.091530476060768,-5.83979856328559,-7.149152109042765,-7.277417757271446,-7.044986875672776,-7.301645850852779,-7.085558230171753,-7.364237977443515,-7.206555612830156,-7.170075726538139,-7.186998819587101,-7.200316104194182,-7.115335192094539,-7.135359542974751,-5.292229456220986,-7.083722081836307,-7.300883743545812,-7.220096313796681,-7.033265971743144,-7.272533149872914,-7.215089287345202,-7.229574254030848,-7.06367299913706,-7.30439605655221,-7.149573353020294,-7.452969444208924,-6.053049080255776,-7.373838889252805,-7.356669743983431,-7.327062565429491,-7.226494276041362,-7.259553908035968,-7.251760772202919,-7.211158994800947,-7.189936864186009,-6.05772081872113,-7.1711250940131235,-5.829950255744101,-7.099561834902725,-7.043544230519982,-7.254407379945555,-7.21621699623469,-7.291082131561305,-7.206252572174995,-7.1810148374647635,-6.940590790675386,-7.361509683384753
1,-7.337968890476566,-7.4285705884791575,-7.354629463828076,-7.26080084528896,-7.040715583984117,-7.261621314115331,-7.277815174289671,-7.249574890676553,-7.420207381987304,-7.218145857500676,-7.161633848398637,-7.164054417391689,-7.360496016554035,-7.058717008689324,-7.216174107205238,-5.884955428625826,-7.303368269836788,-7.276923658190974,-7.195005036031035,-7.115698499462215,-7.253855766346655,-7.232600694785637,-7.272658949618689,-7.077145078409907,-7.23146249177968,-7.230503975158639,-7.420461495837585,-7.400410234947367,-6.091758487515367,-7.216578439873423,-7.271342547388111,-7.288678078418987,-7.2758676898979395,-7.188127775152337,-7.381683229388406,-7.167312607914926,-6.940226597376562,-7.281266501074045,-7.32474113609391,-7.316492869302989,-7.407777171798179,-7.18515555405268,-7.350958701446014,-7.007443524366167,-7.352250704920946,-7.377268043163076,-7.274778792415746,-7.282792121903426,-7.276938143994347,-7.555883512636028,-7.327334840439592,-7.089572795179764,-7.2604139170819115,-7.346211086914663,-7.301726234011295,-7.373500158123788,-7.024160568157678,-5.398666910865305,-7.185948098241123,-6.951238980409343,-7.366702455092185,-7.0792849682537815,-7.309251483065422,-7.219812566373424,-7.360911638527846,-7.236666191604726,-7.28664750672916,-7.253328615913649,-7.375797362105315,-7.023136101636581,-7.24345154769264,-7.362903615901357,-7.3220410348489615,-5.400190593270418,-7.2411627508102026,-7.364693761041348,-7.2855457441911655,-7.280096819559648,-7.241139294076127,-7.201861090378082,-7.382238247111877,-7.262118017896031,-7.225044198083715,-7.277186030273192,-7.053503981570974,-7.312148959490868,-7.295817785388458,-7.231988492167566,-7.314588699080235,-7.253252882550222,-7.2480468258005635,-7.20924857222389,-7.155395880146142,-6.4936836754475245,-7.218593316860382,-7.183514154106778,-7.4540069927082815,-7.333645512450317,-7.3182657973937655,-7.301161924544606,-7.236277105748096,-7.199271022788473
2,-6.892249870321061,-6.922386249109785,-6.881650458091193,-5.13459229213934,-6.705824757451131,-6.743527219391067,-6.876375203318085,-6.798832069100213,-6.898380755167106,-6.78140522607408,-6.903275380443489,-6.502319414598048,-6.827638444403593,-6.904395850961943,-6.798296679054732,-6.8056344117501055,-6.977826953456538,-6.731042275317641,-6.842670262408691,-6.629921484422661,-7.007715179882967,-6.595032578655892,-7.020310424620724,-6.776400274913941,-6.721032355906935,-6.907151025235817,-6.948277540737946,-6.9568327675898,-6.554991498649023,-6.381820820563191,-6.9081141055098945,-6.838518848568497,-6.753160776444653,-6.6763093975052685,-6.674075378225223,-6.910240212398174,-6.672157027845257,-6.95683732844277,-6.903040642974176,-6.787675126826412,-6.842237284425659,-6.833221811416846,-6.885466352434189,-6.26305719020702,-6.70322523684153,-6.905030965885553,-6.918842408570164,-6.882627377119862,-6.844766529985234,-7.095198837119689,-7.071022406235368,-6.5567618014890945,-5.1396218792469135,-7.007488247587812,-6.595874236046966,-6.490239776916799,-5.089356991728821,-5.633506953815745,-6.594708908474019,-6.802382979900949,-6.9064513762175,-6.373964260236125,-6.878903893500792,-6.849292055679282,-5.679484078605977,-6.6776222830392875,-6.878715274693545,-6.8149188249878465,-6.979333718226709,-6.788308625760807,-6.84499892007043,-6.938987758300689,-6.852147158361852,-6.809466381192142,-6.9908753956746255,-6.907508943987917,-6.653060099000132,-5.514159314509167,-6.779162062595054,-6.449687770893643,-6.8230555518670055,-6.8141071163228055,-6.877603879586914,-6.691418844478673,-6.828728595668853,-6.865955132606305,-6.8124037041042484,-6.808206514931656,-6.8029341418265465,-6.861127901336321,-6.834096141869997,-6.853132548205363,-6.4976724957161975,-6.728488065514675,-6.55496496065616,-6.8452837594150635,-7.038549349762001,-6.9677848142482155,-6.982814295017082,-6.5155401809019535,-6.7174414108371465,-6.83696144069427
3,-6.450118175199018,-6.463408351630248,-6.41863146409474,-6.22342631373592,-4.907602726956439,-6.3722399292424985,-6.51098394515561,-6.335684361924002,-6.60305765018777,-4.757344924207832,-6.318978835858981,-5.806822817760332,-5.923373488144918,-6.431839947851916,-5.673724976741236,-6.401509454636941,-6.462236649777946,-6.504895457749575,-6.32871670303977,-6.418695527424839,-6.493160195449114,-6.451218666333121,-6.635659362834698,-6.220014207344408,-6.339907497597654,-6.258690971127017,-6.679550014801675,-6.795902139062181,-6.2687746393116175,-6.492626972808824,-6.440678123378134,-6.479353356120977,-6.1817903113417945,-6.285105788223082,-6.064010900780838,-6.355788611611782,-6.3983225291951875,-6.116051403977416,-6.7344203664559075,-6.566815375802501,-6.571139578276631,-5.334600732160143,-6.449945660681864,-6.315829981622234,-6.439013192380193,-6.462766506483313,-6.270085026799334,-6.37248889127214,-6.367355593820175,-6.606292124867355,-6.638291064017415,-6.268901749611997,-5.518545503349914,-6.643730264127278,-6.424700600042791,-6.169019659159708,-6.117737219200167,-6.374520078737906,-6.28637596336976,-6.063951104347233,-6.299130208901545,-6.221289780718613,-6.153428722708365,-6.430570758514494,-6.322496669809115,-6.056572827905256,-6.278954529682235,-6.394997685564122,-6.468350905887772,-6.374659186752213,-6.357246124263411,-6.381613228234151,-6.5370046721354615,-4.559690729196817,-6.459739388309387,-6.491910087316082,-6.597427179861061,-5.62982331633099,-6.433356008675491,-6.131749463610529,-6.522864489575541,-6.388365771736434,-6.375371103792119,-6.457978089386324,-6.132726324746672,-6.470501641473595,-6.089618651352788,-6.330998631390809,-6.416361587167996,-6.465699679210746,-6.327867809631649,-6.227771506960771,-4.664370384308517,-6.31784049271078,-4.866010491121347,-6.636370940529049,-6.639592443314385,-6.523954258837575,-6.483940357758327,-6.285633136439894,-6.416729182744856,-6.314355259654338
4,-6.249893195998052,-6.172934222293789,-6.116800844311736,-4.888154345236871,-4.975150619357312,-6.080446245986987,-6.181271449806527,-6.17632436921168,-6.337843356367457,-5.373393695240711,-6.085564346719419,-6.043616198716566,-6.206785952681822,-6.264919064745906,-6.247506835562153,-6.110753401602903,-6.218540042944125,-6.243353995060478,-5.934014734063434,-5.993587469990387,-6.252088133414431,-6.0889356496652045,-6.361796421164534,-6.129603908650387,-6.033695037673718,-6.141091205054309,-6.352793003955312,-6.311998435994201,-6.053191427696345,-5.796168542832536,-6.183076291970907,-6.195944863944158,-6.0095865335150975,-6.12907152099872,-6.092529026288498,-5.990187938599024,-6.002630466596328,-6.137289920276221,-6.335274772563375,-6.214323497304166,-6.237383291069154,-6.168084219491954,-6.31711341941195,-6.089334287439903,-6.027612997003895,-6.381946762211821,-6.088848621406428,-6.009313898116148,-6.006645221445615,-6.289161460983242,-6.246270731093847,-5.898521489136502,-5.707912878475059,-6.399617700606201,-6.123983202755516,-5.898222177391559,-4.84290896593437,-5.7781334624469425,-6.21623674363288,-4.7053440054060625,-6.0787803399460145,-5.234585737888255,-6.218592954061055,-3.904756084070674,-5.82293219451641,-6.05534706229382,-5.859913781029928,-6.089213948397035,-6.285951729341466,-4.825073886855462,-6.280037117058921,-6.169678516831289,-6.275628643900891,-6.007363393802092,-5.887988236927667,-6.150326014702995,-6.141766382145571,-6.0873968048134754,-6.044559957248715,-5.971291501446843,-6.21883273295711,-6.097425656171616,-6.048043595142293,-6.304621910085442,-4.276209267295713,-6.026498872268801,-5.7897285950693576,-6.2812685802532044,-6.1866437058074135,-6.029865926040602,-5.777107061062778,-6.111740584493789,-4.612461166263599,-6.124131687474135,-6.034737125144821,-6.096043969384109,-6.144408881271424,-6.290403256305801,-6.209160968163761,-5.850828451544365,-5.956098556209075,-6.073119514891964
5,-5.5984031903875815,-5.756276160383337,-5.718006338347702,-5.561192386539437,-5.682755844230486,-4.334848888907549,-5.773236625527133,-5.662554092342605,-5.982577041633412,-4.911578193127552,-5.454213694219054,-5.5792506272150835,-5.647077735828108,-5.649173960912432,-5.781309446537321,-5.4552830505703165,-5.820075860850467,-5.753166135316797,-4.610997919417543,-4.04238692961008,-5.895831790898291,-5.8620926522142565,-5.956331964809796,-5.628037024001915,-5.472555524398321,-5.735771142606595,-5.89235131329696,-5.958738527282176,-4.391841445120806,-5.145410930788157,-5.780239885978277,-5.79398315717902,-5.501557808369947,-5.589569715518272,-5.794702663428616,-5.807798760221864,-5.491575981595853,-5.805771181027555,-5.918539959055184,-5.669377201963982,-5.828127452176851,-5.409343314259159,-5.740405429395991,-5.558190420377234,-5.750473841537472,-5.826906353337164,-5.795855766456921,-5.828028994423251,-5.36318184955997,-6.045297933872102,-5.898251080338008,-5.5991898804106075,-4.0011498329758695,-5.88266217858069,-5.465336313989831,-5.606155734652134,-5.5619558818361465,-5.683878137369923,-5.853712701110369,-5.5937749924935956,-5.665715341283726,-5.705438839124638,-5.0097602858235355,-5.465831831303267,-5.4883668138611394,-5.65165328506419,-5.435749835213488,-5.503963239519419,-5.670309507909933,-5.565950076841068,-5.799439142410519,-5.7680002322360835,-5.692017461177997,-5.456126878344207,-5.698285330427106,-5.809739692171924,-5.840928587761663,-5.312180509759749,-5.393848123246942,-5.562975092048468,-5.479387991951403,-5.60811372675501,-5.379203234686702,-5.580246997667473,-5.371004559387376,-5.726622383775267,-5.429342248031534,-5.563549175722224,-5.68580898429176,-5.417044973694174,-3.2864035998693426,-5.443678263276237,-4.3060735400181525,-5.508872411763301,-3.902858710692087,-5.88229841610917,-5.773335026627571,-5.915094737404841,-5.699597622290867,-5.3881007937897385,-5.542886067968302,-5.320385117713245
6,-5.1901076597378495,-5.320807575685167,-5.328098000126824,-5.126606627216071,-5.02302994570696,-5.2432991928032635,-5.090130482888414,-5.070620638555095,-5.334228067990974,-5.109198351324916,-5.000123701587206,-4.982138763617236,-5.116771246808713,-5.232753998729457,-5.104290269674544,-4.366621949737858,-5.2971780765172,-5.044561986735201,-5.184756007112581,-5.06556283577458,-5.381021062036453,-5.15381219179813,-5.487974864195167,-5.184453748548692,-4.8990379616908655,-5.252887357515666,-5.46243517397876,-5.442154426956624,-5.124328658907863,-5.124719108617378,-5.251644227338283,-5.056458584428239,-5.052482005900916,-4.937389213818982,-5.062452608597312,-4.849052059400593,-5.1964389859004125,-5.10792875756657,-5.345077855564484,-5.213592271005511,-5.413684225544978,-5.05816507406964,-5.231501655695818,-5.121752674542687,-5.229663660158865,-5.48040369344804,-4.876181478073874,-5.022405722438991,-5.074847405032609,-5.507225143559159,-5.446420347079412,-4.021341624256821,-4.215274840610579,-5.208718443805121,-5.224022356755224,-5.302859927984904,-5.224096720055276,-5.1657432456479455,-5.1687585384333925,-4.833736819567855,-4.511495162970881,-4.869845584318724,-5.19872496744449,-4.8631197056415685,-5.071332041053691,-5.088412760115983,-5.125626416063183,-5.3051204574448185,-5.382178714165172,-3.0396858083261113,-5.370337607270337,-5.219127180292708,-5.422354594599407,-5.166541334100963,-5.204385787346052,-5.505989923078511,-5.147428701563767,-5.091585063875007,-4.968867653442388,-5.256136111994447,-5.326166907368276,-3.587405590746074,-5.197335906583009,-5.297084101788411,-4.098175524759946,-5.1887239187257395,-2.966106403561727,-5.307765414749113,-5.356957150418447,-5.150632621968292,-4.20626019374222,-5.168800289508899,-3.959474126136538,-5.162085796640335,-4.96305768182598,-5.0451477140226295,-5.426204209692012,-5.462950405112758,-5.266472512108579,-5.244527259544342,-5.171247972251369,-5.216879259415335
7,-4.498290941719099,-4.7573824312287245,-4.530493840119522,-4.4899742196887,-2.8498440147665507,-4.465349936855767,-4.600959583358339,-4.411030023870732,-4.703813057061904,-4.175640480332849,-4.4063802030291415,-3.8828228085388194,-4.41053121263724,-4.4584079203914495,-4.424550942283574,-4.603770664746525,-4.719809016590446,-4.429686534716054,-4.406813900438578,-4.464666434502403,-4.731708870730984,-4.428087386096881,-4.839741651605772,-4.218371518731687,-4.745422075393994,-4.685562116555776,-4.804449962381945,-4.9762193310613485,-4.4290316657535485,-4.440670741856183,-4.748199640681836,-4.749955652955818,-4.616957801178807,-4.416134378695662,-4.575661541602829,-4.756602422265771,-3.6961233183244895,-4.571576821811775,-4.8317298702752405,-4.847300819329881,-4.772838181734735,-4.697652628883979,-4.82702112723657,-4.434484133164726,-4.613742243266451,-4.832235209805846,-4.377230412992759,-4.493036990229857,-4.532738181589361,-4.739830280046115,-4.78844488045781,-4.707757794964514,-3.6871772449013056,-4.8075705894415135,-3.887483695539133,-4.668557674106547,-3.3121340266296895,-4.586087487862695,-4.696821907207895,-4.53804165174799,-4.618975498175241,-4.541410168805511,-4.782402916001571,-4.6839954441743155,-4.515339330305479,-4.4534766423550955,-4.407447264390887,-4.646363613613909,-4.831895093315149,-4.698362873893023,-4.446933265540762,-4.579107064674476,-4.889178852191051,-4.653957035322907,-4.647848088249336,-4.91445029806518,-4.680515720437617,-3.3777033513637664,-4.545662540903373,-4.6429395644174045,-4.409827097741785,-4.633297608529527,-4.4234807685000215,-4.612157654079671,-4.510128403294806,-4.654921794841239,-3.5266750225596,-4.424461695477744,-4.714615406849925,-4.408567972581065,-4.640818674233546,-4.718348127180342,-4.700300000194735,-4.657552370614979,-2.8363638340994646,-4.539722379360177,-4.91859421316985,-4.844499380266731,-4.75140986579706,-4.5282995079273665,-4.429620023090134,-4.644057027531235
8,-4.018225293456992,-4.288177390139133,-4.3013866002829015,-4.000851937841022,-4.073513987620839,-3.2720588674248963,-4.009110125077202,-4.18861513759575,-4.2564675990099365,-2.712310195424371,-4.002887879391574,-3.253507705767857,-4.025994251567493,-4.13893629649233,-4.014386027172362,-3.8652286909447247,-4.037790841487456,-4.203037044540167,-4.002978140554735,-4.250219993629832,-4.4160556672767415,-4.008840020394235,-4.303646620976252,-4.0054675122391945,-4.147536051441268,-4.249513640600181,-4.454702278864532,-4.26623433622681,-3.4732907510792015,-4.008126160701193,-4.100361510451596,-4.145690976812842,-4.006275956509564,-4.271733069831571,-4.1886180128678685,-4.261978029751366,-4.0313107662685965,-4.069498504015189,-4.467999124076198,-4.168886458667631,-4.38793242382358,-4.015234502592593,-4.215556374331092,-4.011093525508806,-4.2087130960235175,-4.341460012731056,-4.009380692863622,-4.059923866200224,-4.0077655893777875,-4.44883284783093,-4.436695555869337,-4.006692272785555,-3.128831174520828,-4.267709814476969,-4.096913367243803,-4.006517402719735,-3.4563229027129796,-4.094424138245788,-4.121363150382386,-4.003158561141257,-4.217726388768127,-3.1158295176846167,-4.165989018053979,-3.41002901728643,-4.069918559445374,-4.014731344191551,-4.0106037870783435,-4.203603750573574,-4.229009479209827,-2.7688796090320085,-4.388428676912446,-4.29351507688129,-4.227981727724101,-2.5997428103285642,-4.163894578871189,-4.38259271105344,-4.243003294102916,-3.3466480394127744,-3.493175326951871,-4.043800016392039,-4.252518472618496,-4.066025231938252,-4.016758160189781,-4.017256635312169,-2.818845227742678,-4.226641911939982,-4.081370521471213,-4.1095787608586924,-4.164364600906647,-3.7230147844774737,-3.1770062885613224,-4.221629301230683,-2.783476972340324,-3.88831465027583,-4.142569508124094,-4.138924188860235,-4.404357200700967,-4.267603041799803,-4.302723365571434,-4.003002957778134,-4.162915302062514,-4.121566545489951
9,-3.5745230084231254,-3.6583679877496857,-3.708035383354436,-2.4910228244749257,-3.197644872050832,-3.3911442160554497,-3.6832865781793633,-3.4610429282218256,-3.822904898910273,-3.12745911788203,-2.9947847014348015,-3.4625767666451055,-3.557030696150486,-3.6555562716024457,-3.3967806217547585,-3.3724137819271585,-3.6740340252535413,-3.649593933472536,-3.548334302188252,-3.496042465026283,-3.8013560922560656,-3.553175002980656,-3.8439697313271064,-3.5814679835204393,-3.3833437213898225,-3.6422799905322667,-3.861896611543241,-3.85597354724316,-3.3604890546484305,-2.8219831887676587,-3.5851549444307174,-3.7033639495582236,-3.506929468595743,-3.4060025606988718,-3.41166913072378,-3.611538844193543,-2.242669086318026,-3.4938246013977574,-3.850840450048826,-3.692999031150606,-3.7698744092373424,-2.8380157319642625,-3.6932688273070235,-3.5550777853986046,-3.5368844320170427,-3.7884579023256295,-3.527134226151305,-3.614104973023851,-3.4001655311419734,-3.8714921813722865,-3.8996564797695226,-3.3909998022449295,-3.508952105888201,-3.7574648842762404,-3.448027633184375,-3.4949343987320556,-2.226645842736693,-3.4903310443270725,-3.588461094729391,-3.4038945183652087,-3.506432697507608,-2.971168379600427,-3.5138993604289777,-2.5205960365105953,-3.5249962945815017,-2.5064438503057467,-3.421803860681797,-3.4993280915300735,-3.885242670373973,-2.6540344718293785,-3.463553877360921,-3.5553341792461586,-3.659339776581678,-3.494798859788844,-3.523487958252298,-3.9053958762359606,-3.509586487960069,-2.4417783049415056,-2.9860681956253012,-3.4049494898119352,-3.5711774556909717,-2.9976687530093056,-3.406998807848358,-3.6109985336432677,-2.1596991195882396,-3.554755469834643,-3.471281026144081,-3.701017606863346,-3.566309304926566,-3.5902631669101703,-3.176231766773556,-3.4070771831204247,-3.2170683665782294,-3.4057267724274856,-2.9957268033015856,-3.6237234420904025,-3.7903339189806418,-3.7989408781406806,-3.596878550516357,-3.396905554350238,-3.506200908851253,-3.4992107886876
